timestamp,building_name,current_investment,max_investment
2025-11-29T15:36:03.823462,Smelter,2307,3000
2025-11-29T15:36:09.704427,Iron Mine,0,2000
2025-11-29T15:36:14.781584,Ether Well,1388,2000
2025-11-29T15:36:19.259305,Wizard Tower,1080,2000
2025-11-29T15:36:23.938647,Mausoleum,244,2000
2025-11-29T15:36:28.955211,Summoner's Tent,910,2000
2025-11-29T15:36:33.593669,Town Hall,650,2000
2025-11-29T15:37:02.803598,Temple,0,2000
2025-11-29T15:37:07.868993,Ironwood Sawmill,3,3000
2025-11-29T15:37:12.620126,Lumberyard,2482,3000
2025-11-29T15:37:17.595554,Wood Workshop,2311,3000
2025-11-29T15:38:02.973979,Tavern,627,1000
2025-11-29T15:38:08.047452,Training Hall,2553,3000
2025-11-29T15:38:13.422331,Amphitheatre,522,2000
2025-11-29T15:38:18.422094,Apothecary,2080,3000
2025-11-29T15:38:23.441725,Garden,2402,3000
2025-11-29T15:38:28.248824,Master Lodge,405,2000
2025-11-29T15:39:04.397796,Sol Tower,1352,2000
2025-11-29T15:39:09.801520,Laboratory,1139,2000
2025-11-29T15:39:14.982846,Bakery,1030,2000
2025-11-29T15:39:19.956976,Restaurant,1940,3000
2025-11-29T15:40:05.431020,Jewel Workshop,90,2000
2025-11-29T15:40:10.299759,Jewel Storehouse,1377,2000
2025-11-29T15:40:15.259964,Luna Tower,1765,2000
2025-11-29T15:40:19.727566,Academy,1800,2000
2025-11-29T15:40:24.745331,Tannery,2614,3000
2025-11-29T15:40:29.709253,Tailor Workshop,19,2000
2025-11-29T15:41:03.094485,Military Camp,845,1000
2025-11-29T15:41:07.894398,Wind Nexus,527,2000
2025-11-29T15:41:13.182642,Weaver Mill,1380,2000
2025-11-29T15:41:18.039129,Emerald Inn,913,1500
2025-11-29T15:42:06.285884,Oil Press,2010,3000
2025-11-29T15:42:11.588187,Smithy,726,2000
